commodity,mom_side_label,risk_state,horizon,n_state_obs,n_end_within_h,p_end_within_h,p_survive_beyond_h,hist_n_episodes,hist_n_ended,hist_end_risk_rate,hist_duration_reliability,survival_sample_reliability
EB,UP,NO_RISK,2,244,52,0.21311475409836064,0.7868852459016393,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,NO_RISK,3,244,70,0.28688524590163933,0.7131147540983607,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,NO_RISK,5,244,103,0.42213114754098363,0.5778688524590163,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,NO_RISK,10,244,162,0.6639344262295082,0.33606557377049184,36,36,0.3055555555555556,MEDIUM,HIGH
EB,UP,NO_RISK,20,244,203,0.8319672131147541,0.16803278688524592,36,36,0.3055555555555556,MEDIUM,HIGH
EB,DOWN,NO_RISK,1,188,25,0.13297872340425532,0.8670212765957447,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,NO_RISK,2,188,45,0.2393617021276596,0.7606382978723404,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,NO_RISK,3,188,64,0.3404255319148936,0.6595744680851063,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,NO_RISK,5,188,92,0.48936170212765956,0.5106382978723405,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,NO_RISK,10,187,139,0.7433155080213903,0.25668449197860965,33,32,0.42424242424242425,MEDIUM,HIGH
EB,DOWN,NO_RISK,20,187,170,0.9090909090909091,0.09090909090909094,33,32,0.42424242424242425,MEDIUM,HIGH
FG,UP,RISK,1,166,2,0.012048192771084338,0.9879518072289156,20,20,0.5,MEDIUM,HIGH
FG,UP,RISK,2,166,4,0.024096385542168676,0.9759036144578314,20,20,0.5,MEDIUM,HIGH
FG,UP,RISK,3,166,8,0.04819277108433735,0.9518072289156626,20,20,0.5,MEDIUM,HIGH
FG,UP,RISK,5,166,17,0.10240963855421686,0.8975903614457832,20,20,0.5,MEDIUM,HIGH
FG,UP,RISK,10,166,49,0.29518072289156627,0.7048192771084337,20,20,0.5,MEDIUM,HIGH
FG,UP,RISK,20,166,102,0.6144578313253012,0.3855421686746988,20,20,0.5,MEDIUM,HIGH
FG,UP,NO_RISK,1,142,18,0.1267605633802817,0.8732394366197183,20,20,0.5,MEDIUM,HIGH
FG,UP,NO_RISK,2,142,30,0.2112676056338028,0.7887323943661972,20,20,0.5,MEDIUM,HIGH
FG,UP,NO_RISK,3,142,40,0.28169014084507044,0.7183098591549295,20,20,0.5,MEDIUM,HIGH
FG,UP,NO_RISK,5,142,57,0.4014084507042254,0.5985915492957746,20,20,0.5,MEDIUM,HIGH
