hl_n,bandwidth_p,max_lag,active_lag_count,hl_weight_grid_size,hl_weight_scale,Q_gsd,TQ_gsd,C_robust,D_robust,M_robust,pvalue,C_iid,D_iid,M_iid,pvalue_iid,decision,z_raw_mean,z_raw_second_moment,z_restandardized,z_used_mean,z_used_second_moment,sensitivity_axis,bandwidth_multiplier,p,grid_size,weight_scale,sensitivity_label,status,sensitivity_reject_share,sensitivity_conclusion,symbol,best_model_name
2537,10.501811391196394,10,10,15,1.0,10.357981132970178,10.357981132970178,6.330625709218553,3.704855352952032,1.087047951964609,0.13850780912142913,6.330625709218552,2.3283612867506664,1.729695235300868,0.041842370221762515,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,bandwidth_multiplier,0.5,10.501811391196394,15,1.0,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
2537,21.00362278239279,21,21,15,1.0,16.638543570154365,16.638543570154365,13.660624304412574,6.072796600421602,0.4903703288094731,0.3119359343938678,13.66062430441257,3.513604213606914,0.8475397582372522,0.19834716805489183,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,bandwidth_multiplier,1.0,21.00362278239279,15,1.0,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
2537,31.505434173589183,31,31,15,1.0,24.023672554284317,24.023672554284317,21.001734639465976,8.330806664529655,0.3627425334073523,0.35839861179904153,21.00173463946598,4.393703658667347,0.687788287418301,0.24579305647202254,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,bandwidth_multiplier,1.5,31.505434173589183,15,1.0,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
2537,42.00724556478558,42,42,15,1.0,31.58347947749604,31.58347947749604,28.345614370241297,10.681028546875567,0.3031416958624168,0.3808909397407114,28.34561437024129,5.12568325316514,0.6316943414822503,0.26379331312855514,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,bandwidth_multiplier,2.0,42.00724556478558,15,1.0,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
2537,21.00362278239279,21,21,8,1.0,16.05113693522363,16.05113693522363,13.994570981702669,6.2276826425436145,0.3302297293493725,0.37061319244629165,13.994570981702664,3.54277081052302,0.5804964711271732,0.28078993289805954,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,weight_grid_size,1.0,21.00362278239279,8,1.0,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
2537,21.00362278239279,21,21,15,1.0,16.638543570154365,16.638543570154365,13.660624304412574,6.072796600421602,0.4903703288094731,0.3119359343938678,13.66062430441257,3.513604213606914,0.8475397582372522,0.19834716805489183,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,weight_grid_size,1.0,21.00362278239279,15,1.0,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
2537,21.00362278239279,21,21,21,1.0,16.527886348050014,16.527886348050014,13.693629756759877,6.065009351342362,0.4673128147218493,0.3201380447015961,13.693629756759876,3.504204088304291,0.8088160734558286,0.20931047464327435,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,weight_grid_size,1.0,21.00362278239279,21,1.0,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
2537,21.00362278239279,21,21,15,0.75,13.236645856053878,13.236645856053878,10.160940400372684,4.889311058366112,0.6290672487319755,0.26465251544146207,10.160940400372679,2.813998604063074,1.0930017702355117,0.13719651125337173,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,weight_scale,1.0,21.00362278239279,15,0.75,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
2537,21.00362278239279,21,21,15,1.0,16.638543570154365,16.638543570154365,13.660624304412574,6.072796600421602,0.4903703288094731,0.3119359343938678,13.66062430441257,3.513604213606914,0.8475397582372522,0.19834716805489183,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,weight_scale,1.0,21.00362278239279,15,1.0,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
2537,21.00362278239279,21,21,15,1.25,18.907567061209683,18.907567061209683,16.45921593133318,6.986660359957524,0.35043225285555285,0.3630071623867389,16.459215931333176,4.00769118697464,0.6109131207099664,0.2706285490552589,FAIL_TO_REJECT,0.0016152730560312469,0.9616425994029997,True,-8.402160848562477e-18,1.0,weight_scale,1.0,21.00362278239279,15,1.25,AU:08_EGARCH11_t,ok,0.0,stable_fail_to_reject,AU,08_EGARCH11_t
