symbol,family,spec_name,rep,nobs,bandwidth_p,status,convergence_flag,M_robust,pvalue,decision,reject_5pct,mc_family_status
AL,GARCH,03_GARCH11_t,88,2537,21.00362278239279,ok,0,0.2455416971275808,0.40301851323375804,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,89,2537,21.00362278239279,ok,0,0.20286703990690888,0.41961947845969394,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,90,2537,21.00362278239279,ok,0,-0.08257358878943331,0.5329046986846133,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,91,2537,21.00362278239279,ok,0,-0.7470454263606998,0.7724819296795531,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,92,2537,21.00362278239279,ok,0,-0.3242044151576949,0.6271083601769236,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,93,2537,21.00362278239279,ok,0,-0.008194748479262279,0.5032691950557244,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,94,2537,21.00362278239279,ok,0,-0.9614122467946735,0.8318275355309965,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,95,2537,21.00362278239279,ok,0,0.1375894350701455,0.44528245285191015,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,96,2537,21.00362278239279,ok,0,1.1267263086390547,0.12992910777947642,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,97,2537,21.00362278239279,ok,0,0.2894194620431394,0.38613020170994206,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,98,2537,21.00362278239279,ok,0,-0.13505399265238976,0.5537154073172423,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,99,2537,21.00362278239279,ok,0,-0.24027973293810592,0.5949432971913269,FAIL_TO_REJECT,False,representative_fit
AL,GARCH,03_GARCH11_t,100,2537,21.00362278239279,ok,0,0.0190912619092248,0.4923841510737188,FAIL_TO_REJECT,False,representative_fit
