ma_window,version,vol_bucket,return_col,n_obs,mean_daily,ann_return,ann_vol,sharpe,t_stat,win_rate,max_drawdown
60,long_flat,High,net_strategy_return,2476,0.00023491828583223253,0.0591994080297226,0.16592047812355623,0.3567938611268857,1.1183878059980097,0.47092084006462037,-0.2501012917845963
60,long_flat,Low,net_strategy_return,2476,0.00016529294554271275,0.04165382227676361,0.07042730382269873,0.5914442271086712,1.8539108532784443,0.5105008077544426,-0.13096887648833477
60,long_flat,Mid,net_strategy_return,2476,0.00019027726648389697,0.04794987115394204,0.09763092239107504,0.49113405855034087,1.5394837244626116,0.4979806138933764,-0.16544709340521735
60,long_short,High,net_strategy_return,2476,8.123986703470416e-05,0.02047244649274545,0.20140690311357187,0.10164719369723484,0.3186180994982901,0.5230210016155089,-0.38057380104022487
60,long_short,Low,net_strategy_return,2476,7.404348056408391e-05,0.018658957102149147,0.08403193012369008,0.22204603743701062,0.696014163067161,0.5084814216478191,-0.2093347634491699
60,long_short,Mid,net_strategy_return,2476,6.56758977728322e-05,0.016550326238753715,0.11626179853182678,0.14235394985931726,0.4462154173714726,0.5032310177705978,-0.23677961895575894
120,long_flat,High,net_strategy_return,2417,2.8783297777869903e-05,0.007253391040023215,0.16186447970004217,0.04481150560928981,0.1387802261017355,0.4654530409598676,-0.41628519318584367
120,long_flat,Low,net_strategy_return,2417,0.00016532906034097842,0.04166292320592656,0.06947175294063042,0.5997102626952728,1.8572892100087635,0.5093090608191974,-0.13597347773601687
120,long_flat,Mid,net_strategy_return,2417,6.350417544431868e-05,0.016003052211968308,0.09718924775346698,0.16465866936805712,0.5099441996827839,0.497310715763343,-0.2502732117071824
120,long_short,High,net_strategy_return,2417,-0.00030423160568384696,-0.07666636463232944,0.19650231386050518,-0.3901550222291736,-1.2083013383167258,0.5022755482002482,-0.7166507843564451
120,long_short,Low,net_strategy_return,2417,0.00010180473978395724,0.025654794425557223,0.08285172491759472,0.30964707676362535,0.9589700399642167,0.5184112536201904,-0.17735565383189789
120,long_short,Mid,net_strategy_return,2417,-0.00015954573545797821,-0.04020552533541051,0.11553400594113408,-0.3479973277815338,-1.0777399057600292,0.5002068680182044,-0.3853963497659625
10,long_flat,High,passive_return,2476,0.00038877981166363546,0.09797251253923614,0.23470454182605263,0.41742912930865583,1.308452019361239,0.5197899838449112,-0.4348571032642128
10,long_flat,Low,passive_return,2476,0.0002566513932636038,0.06467615110242816,0.09997647179698944,0.6469137181972022,2.027782685720837,0.5379644588045234,-0.21763470302060983
10,long_flat,Mid,passive_return,2476,0.00031499402868676886,0.07937849522906576,0.13957347497617328,0.5687219240089604,1.782686683023256,0.518578352180937,-0.3364073106314145
10,long_short,High,passive_return,2476,0.00038877981166363546,0.09797251253923614,0.23470454182605263,0.41742912930865583,1.308452019361239,0.5197899838449112,-0.4348571032642128
10,long_short,Low,passive_return,2476,0.0002566513932636038,0.06467615110242816,0.09997647179698944,0.6469137181972022,2.027782685720837,0.5379644588045234,-0.21763470302060983
10,long_short,Mid,passive_return,2476,0.00031499402868676886,0.07937849522906576,0.13957347497617328,0.5687219240089604,1.782686683023256,0.518578352180937,-0.3364073106314145
20,long_flat,High,passive_return,2476,0.00038877981166363546,0.09797251253923614,0.23470454182605263,0.41742912930865583,1.308452019361239,0.5197899838449112,-0.4348571032642128
20,long_flat,Low,passive_return,2476,0.0002566513932636038,0.06467615110242816,0.09997647179698944,0.6469137181972022,2.027782685720837,0.5379644588045234,-0.21763470302060983
20,long_flat,Mid,passive_return,2476,0.00031499402868676886,0.07937849522906576,0.13957347497617328,0.5687219240089604,1.782686683023256,0.518578352180937,-0.3364073106314145
20,long_short,High,passive_return,2476,0.00038877981166363546,0.09797251253923614,0.23470454182605263,0.41742912930865583,1.308452019361239,0.5197899838449112,-0.4348571032642128
20,long_short,Low,passive_return,2476,0.0002566513932636038,0.06467615110242816,0.09997647179698944,0.6469137181972022,2.027782685720837,0.5379644588045234,-0.21763470302060983
